start_x	start_y	duration
1122.5814383370534	562.0570370129176	0.11666666666666667
920.4174525921161	556.3537667347836	0.21666666666666667
1208.7795066833496	464.1526222229004	0.13333333333333333
948.8931291753595	543.9188946377146	0.18333333333333332
1026.1587360927035	549.9570572376251	0.11666666666666667
919.6034240722656	584.547221660614	0.15
645.7348505655924	414.54068183898926	0.15
971.7601776123047	417.58192215647017	0.11666666666666667
965.6324768066407	413.92407417297363	0.15
575.9910202026367	312.09035754203796	0.15
1003.0961816961114	486.3948863202876	0.18333333333333332
