start_x	start_y	duration
581.9952883039201	593.6942686353411	0.11666666666666667
438.0373191833496	488.2217413187027	0.1
451.31685529436385	456.06245602880205	0.11666666666666667
879.8669664483322	575.8453992793434	0.31666666666666665
648.2949542999268	503.48168671131134	0.36666666666666664
751.4164638519287	535.5946433544159	0.15
611.2802505493164	593.7240242958069	0.15
665.8229005336761	453.51024582982063	0.13333333333333333
871.6566123962402	367.91014444828033	0.16666666666666666
696.6185092926025	477.1072733402252	0.1
917.9071569442749	653.872035741806	0.13333333333333333
466.8760907649994	692.9310473799706	0.13333333333333333
403.0593156814575	722.1424090862274	0.1
910.699669231068	691.5156288580461	0.18333333333333332
993.5764694213866	669.0651834011078	0.1
838.1734800338745	613.9863055944443	0.13333333333333333
