start_x	start_y	duration
978.480246407645	199.85031928334917	0.11666666666666667
777.1336310250418	437.5950147424425	0.11666666666666667
766.007022857666	441.7171275615692	0.3
1432.5676536560059	396.40914738178253	0.1
-138.61908276875815	680.5639886856079	0.3
544.8453385489328	584.1986693654742	0.11666666666666667
439.11547524588445	851.5224807603018	0.11666666666666667
336.6834885733468	972.9320679392133	0.11666666666666667
362.39625263214117	995.1810321807861	0.16666666666666666
774.1773360116141	511.0531052521297	0.11666666666666667
794.4223467508951	502.04604864120483	0.15
448.06705474853516	222.2165322303772	0.1
821.0069847106934	629.3632006645203	0.1
773.3357048034668	619.9200010299683	0.16666666666666666
1239.484462738037	767.7654111385345	0.1
883.109073638916	643.9612483978271	0.15
927.6507436312162	585.3171873092651	0.21666666666666667
653.0916213989258	929.8778665065765	0.2
