start_x	start_y	duration
908.1524685450963	374.5592834268297	0.11666666666666667
712.1903473990304	420.35877636500766	0.11666666666666667
745.3399790250338	386.30495199790363	0.21666666666666667
770.1979882376535	388.35937755448475	0.11666666666666667
799.9370208153358	361.0425193493183	0.21666666666666667
834.2975755171342	331.6815220225941	0.18333333333333332
825.1987838745117	333.2435320104872	0.11666666666666667
1034.3607330322266	192.45034217834473	0.13333333333333333
767.7443422589982	353.6467388698033	0.11666666666666667
705.7687078203475	467.3378312587738	0.11666666666666667
652.9768657684326	507.0561647415161	0.1
638.8650455474854	609.9228844642639	0.16666666666666666
694.8782893589564	517.7311757632665	0.11666666666666667
482.14901317249644	110.69171100854874	0.18333333333333332
812.0663324991862	336.3477838039398	0.15
970.3909683227538	594.3797738211496	0.35
