Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,AvgBlinkDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp
2U,Vietnam_2,0,1,29,272.4137931034483,3,94.44444444444446,3.2143490080579014,0.2137960386983736,5,6.593196256840703,0.2950485206462315
2U,Singapore_3,0,1,21,253.968253968254,9,127.77777777777776,3.684692762094064,0.4294090905458158,27,5.716249073626526,0.1643877139425815
2U,Italy_1,1,0,30,267.22222222222223,2,83.33333333333334,3.099036507549643,0.1094847598974682,17,5.976437409587028,0.2088242710078583
2U,London_3,1,0,22,381.8181818181818,4,141.66666666666669,4.027083698965052,0.1554725801894992,5,2.3902030146751265,0.0801925528289407
2U,Sweden_2,1,0,28,218.45238095238096,4,262.5,2.767393964250511,0.0815142578105464,11,5.292665750884494,0.1996749156465189
2U,HongKong_1,1,0,31,234.40860215053763,2,133.33333333333334,2.872713289936178,0.1122683674394127,28,6.625829441144183,0.337936850811354
2U,Brazil_1,1,0,31,246.7741935483872,2,183.3333333333333,3.286395847486413,0.1219260280325398,3,5.594881772346094,0.2317597945603884
2U,France_3,0,1,27,248.14814814814807,2,216.66666666666669,3.439904582062035,0.2916688605605685,17,6.244049197129628,0.2833453730698768
2U,India_1,0,1,29,268.96551724137936,3,111.11111111111111,3.101779025678652,0.1516409956352966,11,5.658904529986299,0.242955698235806
2U,Russia_1,1,0,20,387.50000000000006,3,111.11111111111111,3.54893996952716,0.2193277408314585,9,3.478414576898422,0.1730035360199334
2U,London_1,0,1,26,294.2307692307693,3,94.44444444444446,3.909892517515176,0.2146666539489647,38,5.210279284048641,0.3289203907691165
2U,NYC_1,0,1,28,276.78571428571433,3,105.55555555555556,3.986716081041077,0.0852148236064349,27,5.106107293254671,0.2865558925822682
2U,NYC_4,1,0,31,251.07526881720432,4,150.0,3.246494969577654,0.2195787343191368,0,5.531015103276953,0.2136907565055021
2U,Italy_4,1,0,28,261.9047619047619,4,133.33333333333334,3.3477116478061166,0.1308025526214083,6,6.105145278019262,0.2309740397219091
2U,Brazil_3,1,0,23,350.72463768115944,4,108.33333333333334,3.348910266816304,0.3388768917557592,2,6.289277660402513,0.2154146596656054
2U,Russia_3,0,1,31,257.52688172043014,2,100.0,3.48839053521791,0.0665418324552663,19,7.026284470671047,0.2833597031109847
2U,HongKong_3,0,1,30,219.44444444444449,3,222.22222222222223,3.0110264581893755,0.0928379053761688,11,6.32152896928985,0.3065264055659256
2U,Singapore_1,0,1,31,271.5053763440861,2,100.0,3.969101894372119,0.1209814265382279,7,4.297687409324112,0.1859077058032195
2U,Vietnam_1,1,0,29,245.9770114942529,2,83.33333333333334,3.7596381723064254,0.1726833328715466,42,9.064546181713729,0.3035796920501118
3S,Sweden_2,1,0,34,217.15686274509807,4,104.16666666666669,2.527238076787647,0.0140477034392847,1,6.013356080548634,0.2041597543987834
3S,Russia_1,1,0,25,274.6666666666667,6,225.0,2.6116463627796693,0.0520109692195161,0,6.160666128912612,0.2726835516271873
3S,Singapore_3,1,0,28,278.5714285714286,3,155.55555555555557,2.585589104438795,0.0246817575354147,0,5.548280899937013,0.185669142365826
3S,France_3,0,1,29,237.3563218390805,8,166.66666666666669,2.509872792759758,0.0198404437009622,0,3.03053277197966,0.174417969448133
3S,HongKong_1,1,0,28,241.0714285714286,8,168.75,2.602463298782879,0.015671416880854,0,5.20798100769037,0.1692644567305795
3S,London_1,1,0,29,254.5977011494253,6,158.33333333333334,2.505360287804586,0.0325338886318801,0,6.1766405597781295,0.2094179260641402
3S,Mexico_1,1,0,26,267.3076923076923,7,164.28571428571428,2.615292019314236,0.0308951862781245,3,4.233796591204832,0.2005641538271145
3S,Vietnam_2,1,0,28,254.16666666666669,7,154.7619047619048,2.740159148304584,0.044825537805098,2,6.586358757273798,0.1919976196562602
3S,Russia_3,0,1,23,263.768115942029,10,190.00000000000003,2.590090847015381,0.0278731736277638,0,7.822478130678368,0.3059008985661501
3S,HongKong_3,1,0,25,264.00000000000006,8,179.16666666666669,2.6798147167679827,0.0299545166635425,4,6.217129561788242,0.2324748516478333
3S,Singapore_1,1,0,25,306.00000000000006,4,191.66666666666669,2.421885172526041,0.0178146639246413,0,6.540171376099309,0.2090901851737175
