Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,ClosedEyeDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp,LastFixDur
8I,France_1,1,0,9,503.70370370370375,0,0.0,3.6191610209147136,0.0965959664557203,0,4.238048833685374,0.1221246530467065,300.0
8I,London_3,1,0,15,272.22222222222223,0,0.0,3.476040802001953,0.0127915577017422,0,7.175550918306675,0.2336730668010553,183.3333333333333
8I,Italy_1,1,0,15,294.44444444444446,0,0.0,3.458354500407723,0.0204559841468602,0,6.52314102656326,0.2473441790369105,300.0
8I,Singapore_3,1,0,12,291.6666666666667,2,266.6666666666667,3.3862810277227147,0.0096948422621234,0,6.006456636918358,0.1949813867083244,266.6666666666667
8I,Brazil_3,1,0,8,558.3333333333334,0,0.0,3.533364105224609,0.0067865463492716,0,1.626474169396828,0.0604483744326594,383.33333333333337
8I,Russia_1,1,0,15,288.8888888888889,0,0.0,4.190348459879558,0.0150688250910738,0,5.133894296576612,0.1537260635400995,266.6666666666667
8I,Russia_3,1,0,14,310.7142857142857,0,0.0,3.626601104736328,0.0326037057998814,0,7.028374262232559,0.2276337892825599,283.33333333333337
8I,Sweden_4,1,0,15,284.44444444444446,0,0.0,3.807535909016927,0.0123283892658039,7,3.315191679958004,0.1359585377561348,866.6666666666667
8I,Vietnam_2,1,0,17,225.49019607843127,1,133.33333333333334,3.773211933004445,0.1123318757427723,13,5.787551809412812,0.2680152536667411,100.0
8I,India_3,1,0,5,976.6666666666669,0,0.0,3.8365103149414064,0.0107977327281129,0,3.1523206381773146,0.1040518144335707,633.3333333333334
8I,London_1,1,0,14,296.42857142857144,1,100.0,3.503906145487746,0.0424384481139064,0,6.438015428777778,0.1889557244015986,166.66666666666669
8I,Mexico_1,1,0,10,446.6666666666667,0,0.0,4.355594278971354,0.0390710456653341,0,2.140867930682364,0.1331868995170295,116.66666666666669
8I,Sweden_2,1,0,9,537.0370370370371,0,0.0,3.797925313313802,0.0157539955848556,0,1.444498526549879,0.0493392876015956,183.3333333333333
8I,India_1,1,0,11,418.1818181818182,0,0.0,3.600709737141927,0.0299118548822812,0,2.59857112039231,0.0931330321131648,433.33333333333337
8I,HongKong_1,1,0,16,239.5833333333333,1,83.33333333333334,3.903857577049126,0.1046513472184563,2,7.552954837746674,0.2187676130878811,250.00000000000003
8I,Mexico_3,1,0,15,274.44444444444446,0,0.0,4.01924555460612,0.0700451684165969,0,6.85086225704395,0.2964747850030148,833.3333333333334
8I,Singapore_1,1,0,16,259.375,0,0.0,3.7418019476542894,0.084686107704281,0,7.918952023375035,0.3112470552004885,883.3333333333334
8I,HongKong_3,1,0,12,356.9444444444445,1,116.66666666666669,4.492661780917768,0.0315115619852405,0,5.543523570853612,0.1449458664175419,116.66666666666669
