Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,ClosedEyeDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp,LastFixDur,NumFix_Sim,AvgFixDisp_Sim,AvgFixDur_Sim,CoveredArea,det,revdet,meanline,maxline,ent,relent,lam,tt,corm
38T,India_1,1,0,28,471.4285714285715,1,83.33333333333334,3.4943421468372047,0.1157012282573263,2,5.4225800201591525,0.2238223709440004,383.33333333333337,18.0,387.3514637784652,733.3333333333335,0.1950402777777777,26.28755364806868,12.339055793991417,2041.6666666666663,2500.0,1.0,0.0885964404176418,11.281902552204176,1296.6666666666663,20.37037037037037
38T,NYC_1,0,1,39,331.19658119658123,1,133.33333333333334,3.6213205425292414,0.2269912950111949,6,5.400723370256526,0.2736416804205698,216.66666666666669,26.0,480.6957986039595,496.79487179487177,0.27474375,19.27927927927928,15.675675675675675,1188.888888888889,1733.3333333333337,1.584962500721156,0.1473218735452583,26.949602122015914,1539.3939393939393,16.623992413466098
38T,Sweden_4,0,1,33,400.5050505050505,1,83.33333333333334,3.680516102133905,0.0934081998148684,7,5.474985815181709,0.1995607721727092,216.66666666666669,22.0,297.73232978424943,600.7575757575756,0.2127451388888888,26.73637042569081,15.30993278566094,1491.6666666666667,1650.0,2.0,0.1871366796901747,24.34333958724203,1922.2222222222224,18.243558625840176
38T,Vietnam_2,0,1,36,355.0925925925926,2,133.33333333333334,3.4612672555500565,0.1248607729674841,3,5.087414235097456,0.2111898340697323,83.33333333333334,27.0,375.50468376103095,473.4567901234568,0.2561173611111111,19.679430097951915,23.2413178984862,1841.6666666666663,1883.3333333333333,1.0,0.0919260739518419,18.333333333333336,1650.0,13.708179620913372
38T,Italy_1,1,0,36,355.55555555555554,1,133.33333333333334,3.4993597480688203,0.1046992083420962,2,5.244251332473776,0.2334668173377286,183.3333333333333,20.0,358.2433793895901,639.9999999999999,0.2456743055555555,37.124658780709744,10.191082802547774,1700.0,2400.0,2.0,0.1781226637512897,24.63845741831816,1703.7037037037037,14.374106330430264
38T,India_3,1,0,37,357.6576576576577,1,83.33333333333334,3.761078290033607,0.1206698520008416,2,4.942743762367575,0.1803106900991523,266.6666666666667,30.0,283.78522419747554,441.1111111111112,0.2566729166666666,10.028248587570625,,1183.3333333333333,1183.3333333333333,0.0,0.0,9.387483355525966,1174.9999999999998,13.504394224733208
38T,France_1,0,1,34,383.8235294117648,2,125.0,3.812474990134613,0.286741364247022,3,5.266213618849038,0.184058245201524,183.3333333333333,25.0,281.9685244106247,522.0000000000001,0.2461784722222222,11.403508771929824,,1516.6666666666663,1516.6666666666663,0.0,0.0,9.867172675521822,1733.3333333333333,23.34624439887598
38T,Singapore_1,0,1,31,419.8924731182796,3,133.33333333333334,3.765553920200893,0.0730914750673564,0,7.409484723577834,0.1973210597919475,150.0,24.0,353.1518684782905,542.3611111111112,0.2230402777777777,29.01056676272814,,2516.666666666666,3583.3333333333326,1.0,0.0846977873737022,13.968166849615807,1696.6666666666663,24.21709894332373
38T,Russia_3,0,1,23,494.92753623188406,6,272.22222222222223,3.927339897781122,0.3727894073282068,2,7.174457066060174,0.1794711636792859,1516.6666666666667,15.0,299.2389042549924,758.888888888889,0.1505166666666666,25.88957055214724,22.699386503067487,1172.222222222222,2033.333333333333,1.584962500721156,0.1442327643572716,20.560747663551403,1466.6666666666663,20.736196319018404
38T,Sweden_2,0,1,35,346.6666666666667,5,170.00000000000003,3.3007395462633453,0.1768075782877982,6,6.415529265905516,0.1866504533474672,216.66666666666669,23.0,299.7627318908857,527.5362318840579,0.2852215277777777,23.321554770318016,,1099.9999999999998,1316.6666666666663,1.0,0.096510393565609,11.051004636785162,1191.6666666666663,18.01600498856786
38T,Mexico_1,0,1,38,318.85964912280707,4,179.16666666666669,3.362244757536416,0.0831219396699648,3,6.12142406739548,0.1857565248610891,50.0,29.0,352.00820061938674,417.81609195402297,0.2727875,19.30091185410335,25.6838905775076,1058.3333333333337,1066.6666666666667,1.0,0.0994278866896053,15.415162454873649,1186.111111111111,16.7953667953668
38T,Brazil_3,0,1,33,391.4141414141415,1,500.00000000000006,3.446442459968822,0.050625694192307,0,6.078609789786965,0.1355446796558873,1150.0,25.0,234.8851293713768,516.6666666666666,0.1811,21.631388745482703,13.732576148683531,1745.8333333333333,2200.0,2.0,0.1801374683067388,23.76474926253687,1790.2777777777776,30.6240320082602
38T,France_3,0,1,43,281.78294573643416,0,0.0,3.735135864943601,0.0816843891449672,9,8.50077272090364,0.2542036434679684,183.3333333333333,35.0,427.4981619120035,346.1904761904762,0.3370604166666666,16.698292220113856,,1466.6666666666667,1466.6666666666667,0.0,0.0,,,38.027469052136986
39Y,Sweden_2,1,0,6,236.11111111111111,18,412.962962962963,3.2541437343675264,0.354694171374205,47,7.234246079422505,0.1663892585650805,116.66666666666669,5.0,234.21409417592847,283.33333333333337,0.0503291666666666,,,,,,,,,20.0
39Y,Italy_1,1,0,9,144.44444444444446,16,281.25,3.4491446239700734,0.5332400623991581,6,8.255756875146256,0.1480019582110915,200.0,5.0,307.0943119044116,260.0,0.0760236111111111,,,,,,,,,20.47872340425532
39Y,India_1,0,1,8,160.41666666666669,12,488.8888888888889,3.856202798296315,0.4396503761587654,4,4.615359332301556,0.2274269860129981,133.33333333333334,2.0,533.1810585996337,641.6666666666666,0.0345770833333333,93.33333333333331,73.33333333333333,1166.6666666666663,1666.6666666666663,2.0,0.1868829824378101,74.80106100795756,1175.0,32.95238095238095
39Y,India_3,1,0,10,148.33333333333334,9,935.1851851851852,3.3321219929103747,0.2775597686733193,40,4.467716420643604,0.1355707363561159,100.0,4.0,377.63373466994574,370.83333333333337,0.0473277777777777,79.79797979797979,53.535353535353536,877.7777777777775,1133.333333333333,1.584962500721156,0.1562296237876028,56.09756097560974,894.444444444444,21.997755331088666
39Y,Mexico_3,0,1,4,129.16666666666669,23,370.2898550724638,3.144785040264189,0.5446708794702304,25,9.567525867134004,0.2698143991957671,116.66666666666669,3.0,331.50951751019664,172.22222222222226,0.0345125,,,,,,,,,33.333333333333336
