Participant,Stimuli,Attention,MW,NumFix,AvgFixDur,NumBlink,ClosedEyeDur,AvgPupDia,VarPupDia,OffStimFram,AvgSacAmp,AvgFixDisp,LastFixDur,NumFix_Sim,AvgFixDisp_Sim,AvgFixDur_Sim,CoveredArea,det,revdet,meanline,maxline,ent,relent,lam,tt,corm
1Y,India_3,0,1,71,251.6431924882629,13,129.4871794871795,4.38280840375489,0.1333108267123406,10,5.05314751232583,0.1970734178035051,350.0,33.0,352.7084524811063,541.4141414141416,0.3002520833333333,52.194518854316925,43.5812899237585,1319.2708333333333,3933.333333333333,4.663909765557391,0.3905739389605993,54.388185654008446,1579.656862745098,21.86217656236202
1Y,NYC_1,1,0,63,307.1428571428572,3,205.5555555555556,4.140543504670487,0.1837135312886973,5,4.381682945794142,0.2817201710786152,116.66666666666669,32.0,440.4574005023106,604.6875,0.3137541666666666,47.64820484274979,35.87531310882271,1426.6666666666663,2633.333333333333,4.121928094887363,0.3627778747410732,45.92974337400085,1617.4074074074076,17.184848675291562
1Y,London_1,1,0,63,312.6984126984127,8,152.08333333333334,3.6811296919701806,0.0585598865786889,2,4.217850295322609,0.1984770291975458,150.0,28.0,314.2750779783161,703.5714285714284,0.2994083333333333,58.99617922889893,46.24869746439736,2359.027777777778,8466.666666666666,4.584962500721156,0.3514079203866923,53.638328530259365,2433.006535947712,15.472722383444074
1Y,Brazil_3,0,1,67,270.64676616915426,6,180.5555555555556,3.987615475833712,0.0673116123518601,13,7.202111623870347,0.2339420359719471,266.6666666666667,36.0,393.9690920094226,503.70370370370347,0.3910902777777778,12.740471869328497,14.591651542649728,975.0,1399.9999999999998,2.2516291673878226,0.2154631895462965,26.3335935467083,1349.333333333333,25.21256118352307
1Y,India_1,0,1,60,341.11111111111114,5,123.33333333333334,4.360550640373807,0.0806812191084033,17,5.007822893125702,0.2365609011687136,366.6666666666667,35.0,347.8096897920937,584.7619047619049,0.345125,70.12534818941504,51.70612813370473,1864.8148148148148,4366.666666666667,4.169925001442313,0.3448502925989806,44.02439024390244,2314.1025641025635,9.589372550871063
1Y,Mexico_3,0,1,70,253.80952380952385,13,119.23076923076924,4.487501743547511,0.1454315845390593,9,5.139396532408233,0.214430440708475,166.66666666666669,38.0,362.905198850482,467.54385964912274,0.3857347222222222,23.925385239253856,18.53203568532036,1229.1666666666663,1900.0,3.0,0.275456187372477,31.22876557191393,1114.141414141414,28.194459137017056
1Y,Italy_1,0,1,67,269.15422885572144,6,238.8888888888889,4.608259463803757,0.132755198441899,36,5.979100706086376,0.2410483237831053,183.3333333333333,41.0,347.6325462580482,439.8373983739837,0.4241895833333333,21.52334152334152,12.776412776412776,1042.857142857143,1683.3333333333333,2.521640636343318,0.2353100326530129,14.43695861405197,1249.9999999999998,18.041098950189856
1Y,NYC_4,0,1,56,297.61904761904765,6,255.5555555555556,4.333480856821667,0.2187076500944094,82,4.240327650822472,0.2712631938399611,16.666666666666668,26.0,367.0605852659836,641.0256410256409,0.2845736111111111,54.34782608695653,41.248606465997774,2708.333333333333,5549.999999999999,3.584962500721157,0.2882263239059259,54.06495204882301,2431.8627450980384,10.2199250025337
1Y,HongKong_1,0,1,56,327.67857142857144,7,166.66666666666669,3.953009805827282,0.0745359724731012,9,6.345300749975444,0.22546725110613,316.6666666666667,39.0,398.4742786755593,470.5128205128205,0.3717638888888889,15.19838601210491,13.180901143241426,941.6666666666664,1150.0,2.0,0.1967310561261847,11.012364760432764,1055.5555555555554,25.560921929449176
1Y,Singapore_1,1,0,57,351.4619883040936,3,144.44444444444446,4.34017593583319,0.1268632312457323,0,5.59510373211428,0.1697275110719694,266.6666666666667,28.0,346.70665703950954,715.4761904761905,0.2907444444444444,56.97379543533389,52.45984784446323,2553.030303030303,7916.666666666666,4.459431618637296,0.3443444878748911,59.99718982717438,2737.179487179488,20.27683854606932
1Y,Vietnam_1,1,0,50,388.66666666666674,7,135.71428571428572,4.474779620860358,0.1474432768774991,6,5.339579713708133,0.2062666065291991,550.0,30.0,333.11056770180784,647.7777777777776,0.26695625,64.43154953793251,51.12830431979367,3331.111111111111,8316.666666666668,3.906890595608519,0.3000311583076376,56.75373775562811,2684.959349593496,14.672561481072124
1Y,Sweden_2,0,1,56,333.6309523809524,9,116.66666666666669,4.6945670205338,0.2415462823542063,14,4.944218746326182,0.206597789949198,250.00000000000003,36.0,313.7431955002255,518.9814814814813,0.2733673611111111,39.72642607683353,20.750873108265424,2068.181818181818,5233.333333333333,3.4594316186372978,0.2800424805331395,32.83958744788238,1995.3333333333333,15.510636046142452
1Y,France_1,0,1,51,333.3333333333333,8,168.75,4.65915329186133,0.1986644736199223,0,4.014776648559015,0.1946034760626425,283.33333333333337,26.0,326.0623842532441,653.8461538461538,0.2427138888888889,51.978128015439054,37.60051463493085,1923.809523809524,3966.6666666666665,3.8073549220576033,0.3185178760808485,47.89295228868976,1883.333333333333,19.826310710839497
1Y,Italy_4,0,1,57,311.6959064327486,13,134.61538461538464,3.618661611561144,0.1739668366660651,13,6.23852960872565,0.185588746329121,133.33333333333334,36.0,296.024304955171,493.5185185185184,0.3467520833333333,16.123571730850614,11.17223867964452,1270.0,1533.3333333333337,2.321928094887362,0.2194324929421019,17.395742198891803,1656.9444444444443,29.67172480502993
1Y,Mexico_1,0,1,45,428.8888888888889,10,156.66666666666669,3.9789653479153095,0.1951260515838331,7,5.458103940446232,0.2146978229251395,133.33333333333334,27.0,325.6065770551121,714.8148148148148,0.2432263888888889,55.88668138337013,34.03237674760853,2109.722222222222,5666.666666666666,3.584962500721157,0.2875323926871184,42.04076367389061,2172.6666666666665,13.62549334403639
1Y,HongKong_3,1,0,48,405.5555555555556,10,166.66666666666669,3.912677994430236,0.1358301736424337,6,4.756296577083528,0.1937027853714694,633.3333333333334,29.0,314.9793014751175,671.2643678160917,0.2825034722222222,67.20922346558156,34.350627331298746,3670.37037037037,8049.999999999999,2.9477027792200907,0.227190370317153,50.69225163954336,3661.4035087719294,6.425546344595716
1Y,Russia_1,0,1,38,485.9649122807018,11,174.24242424242425,3.816732468143586,0.1572790068643673,25,4.4296727882574,0.1822053896083952,850.0000000000001,20.0,312.1356066098194,923.3333333333331,0.2345236111111111,66.63775657704538,36.07979184735473,3841.6666666666665,10300.0,3.321928094887362,0.2492028587331266,58.84606962995403,3894.927536231885,7.05796863645953
1Y,Sweden_4,0,1,54,378.3950617283951,6,180.5555555555556,3.785396315162664,0.2784830750365158,8,4.16176733135763,0.2248735422092934,1083.3333333333337,25.0,321.5186620896013,817.3333333333333,0.29009375,61.25082726671078,36.49900727994706,2203.5714285714284,3716.666666666667,3.8073549220576033,0.321040963186502,38.97128060263653,2299.305555555555,11.171534532922092
